,description,category
0,"Vite ! Découvrez l&#39;offre PC portable Gamer - LENOVO Legion Y540-15IRH - 15,6&#39;&#39;FHD - i5-9300HF - RAM 8Go - Stockage 512Go SSD - RTX 2060 6Go - Win 10 - AZERTY pas cher sur Cdiscount. Livraison rapide et économies garanties en ordinateur portable !",Computers
1,"Google Pixel 4a 14,7 cm (5.8"") 6 Go 128 Go 4G USB Type-C Noir Android 10.0 3140 mAh Pixel 4a, 14,7 cm (5.8""), 6 Go, 128 Go, 12 MP, Android 10.0, Noir: Amazon.fr: High-tech",Communications
2,Achetez 14K White Gold Wedding Bands Diamond of 0.30 Carat Total Diamond Weight. Livraison gratuite sur une sélection d’articles dès 25€ d'achats.,Jewelry
3,"Achetez Bovon Transmetteur FM Bluetooth, Bluetooth Lecteur MP3 Adaptateur Radio sans Fil Kit Émetteur FM Voiture Chargeur avec Dual USB Ports, Appel Main Libre, Support Carte SD et Clé USB (Noir): Amazon.fr ✓ Livraison & retours gratuits possibles (voir conditions)",Vehicle Parts & Accessories
4,Kaspersky Total Security 2021 | 3 Appareils | 1 Compte Utilisateur | 1 An | PC / Mac / Android | Code d’activation – envoi par email: Amazon.fr: Logiciels,Computer Software
5,Vite ! Découvrez notre offre polo LACOSTE Polo Classic L.1230 Noir Homme Noir pas cher sur Cdiscount. Livraison rapide et Economies garanties !,Clothing
6,Craquez pour la modernité et l'originalité du Lot de 4 Chaises Ajourées Noires SPIDI. Vous apprécierez son fini noir mat et ses 4 pieds en métal qui offrent stabilité et résistance. Ce lot de chaise design à l'assise ajourée fera tourner les têtes de vos convives !,Chairs
7,"Le jour de ses onze ans, Harry Potter, un orphelin élevé par un oncle et une tante qui le détestent, voit son existence bouleversée. Un géant vient le chercher pour l'emmener à Poudlard, une école de sorcellerie ! Voler en balai, jeter des sorts, combattre les trolls : Harry se ...",Books
8,Aspect : Matériau principal = Verre - Matériaux secondaires = Végétaux vivants - Dimensions : Diamètre (en cm) = 19 - Hauteur (en cm) = 31 - Autres caractéristiques : Composition = Ginseng - Informations complémentaires = Confectionné en atelier à Avignon à partir d'un terreau ...,Plants
9,"Valise Trolley de cabine EASTPAK Traf'Ik Light Urban Blue 04X Upright 20"" Eastpak Traf'Ik Light S. Made of sturdy Polyester, telescopic handle, large wheels. Large main pocket closed by zip, with pockets inside for small objects. For deliveries to Extra-EU countries custom fees ...",Suitcases
10,"Vidéo 4K30 - Robuste et étanche - Écran tactile intuitif - Contrôle vocal - Photos 10 MP avec WDR - Stabilisation vidéo - Prises de vue verticales - Retardateur photo - Marqueurs de performances GPS - Zoom tactile - Clips courts - Découvrez HERO7 Silver, la caméra idéale pour vous ...",Cameras
